MatrNr,Name,Vname,E-Mail,Studiengang
3624801,Müller,Frederik,jf7633s@fh-aachen.de,Informatik
3793432,Fritz,Ferdinand,ff4586s@fh-aachen.de,WirtIng
3832406,Moser,Lina,ml2854s@fh-aachen.de,IndEng
3795010,Franz,Jona,fj6795s@fh-aachen.de,WirtInfo
3849745,Groß,Joshua,gj4805s@fh-aachen.de,WirtInfo
3622193,Förster,Tim,ft3285s@fh-aachen.de,BWL
3666599,Köhler,Jonah,kj1920s@fh-aachen.de,BWL
3683496,Friedrich,Jakob,fj7019s@fh-aachen.de,WirtInfo
3863452,Fröhlich,Niklas,fn5109s@fh-aachen.de,WirtInfo
3720537,Steiner,Paula,sp2770s@fh-aachen.de,IndEng
3895291,Kühn,Marlene,km3921s@fh-aachen.de,WirtInfo
3660637,Kruse,Sara,ks6538s@fh-aachen.de,BWL
3687824,Bauer,Mira,bm8832s@fh-aachen.de,WirtInfo
3835730,Peter,Michael,pm1647s@fh-aachen.de,Informatik
3851166,Heinz,Kaan,hk6073s@fh-aachen.de,Informatik
3788826,Wenzel,Ferdinand,wf4231s@fh-aachen.de,IndEng
3882556,Baumann,Konstantin,bk6098s@fh-aachen.de,Informatik
3644973,Thiele,Jasper,tj5841s@fh-aachen.de,Informatik
3676798,Wilhelm,Pia,wp1930s@fh-aachen.de,WirtIng
3647283,Arndt,Isabelle,ai2018s@fh-aachen.de,WirtInfo
3645631,Ziegler,Lennard,zl1436s@fh-aachen.de,WirtIng
3785349,Sommer,Benedikt,sb7007s@fh-aachen.de,Informatik
3769471,Werner,Theodor,wt5312s@fh-aachen.de,Informatik
3768676,Breuer,Malik,bm4780s@fh-aachen.de,WirtInfo
3660321,Frey,Helena,fh7070s@fh-aachen.de,WirtIng
3743706,Thiel,Romy,tr5442s@fh-aachen.de,WirtIng
3899315,Graf,Noel,gn1183s@fh-aachen.de,WirtInfo
3623904,Thomas,Lukas,tl2433s@fh-aachen.de,IndEng
3858319,Otto,Luise,ol6448s@fh-aachen.de,Informatik
3789975,Fiedler,Isabella,fi7775s@fh-aachen.de,Informatik
3783030,Günther,Josef,gj8370s@fh-aachen.de,Informatik
3649058,Huber,Sofia,hs9765s@fh-aachen.de,BWL
3728371,Kunz,Jona,kj2027s@fh-aachen.de,BWL
3739145,Paul,Leni,pl2436s@fh-aachen.de,BWL
3643945,Petersen,Philipp,pp7169s@fh-aachen.de,BWL
3872389,Kaiser,Mira,km4492s@fh-aachen.de,WirtInfo
3849635,Lutz,Josephine,lj2238s@fh-aachen.de,Informatik
3626915,Berg,Bruno,bb9748s@fh-aachen.de,WirtIng
3808391,Löffler,Mira,lm8283s@fh-aachen.de,WirtInfo
3793047,Schmitz,Till,st6972s@fh-aachen.de,WirtInfo
3633835,Kunze,Melissa,km8924s@fh-aachen.de,BWL
3819122,Schubert,Martin,sm8943s@fh-aachen.de,IndEng
3839897,Kraft,Oskar,ko5924s@fh-aachen.de,IndEng
